Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
tech recruiting platform,70,70,30,26,16.50,https://www.facet.net/,0,0,0.00,0.26,54200000,"[14,50,64,14,35,14,14,14,14,14,14,14]",2023-08-25,"Sitelinks, Reviews, Video, Ads bottom, People also ask, Indented, Related searches",commercial,Organic
unlimitedvacation,72,72,260,62,1.25,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0.02,161000000,"[66,54,54,66,54,54,43,81,43,43,54,66]",2023-09-10,"Sitelinks, Reviews, People also ask, Indented, Related searches",informational,Organic
microsoft interview preparation,72,72,70,37,4.59,https://www.facet.net/posts/i-cheated-on-my-microsoft-interview,0,0,0.00,0.16,92,"[52,52,64,41,41,41,29,41,41,41,64,41]",2023-08-31,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
net recruiter,72,72,20,32,6.25,https://www.facet.net/,0,0,0.00,0.24,59600000,"[50,75,50,50,50,75,50,50,50,100,50,50]",2023-09-13,"Image pack, Sitelinks, Reviews, People also ask, Indented, Related searches",commercial,Organic
microsoft interview,73,73,140,51,4.16,https://www.facet.net/posts/i-cheated-on-my-microsoft-interview,0,0,0.00,0.05,279000000,"[44,36,19,29,23,23,23,4,19,4,19,5]",2023-08-22,"Image pack, Sitelinks, Reviews, Video Carousel, People also ask, Related searches",informational,Organic
netflix hires .com,73,73,170,56,0.00,https://www.facet.net/,0,0,0.00,0,283000,"[0,0,0,0,0,0,0,1,100,0,0,0]",2023-09-17,"Sitelinks, Reviews, Video, People also ask, Indented",navigational,Organic
hire vetted developers,74,74,20,47,14.67,https://www.facet.net/,0,0,0.00,0.67,2470000,"[66,66,66,66,66,66,66,66,66,66,100,66]",2023-09-14,"Sitelinks, Reviews, Video, Ads top, Ads bottom, People also ask, Related searches",commercial,Organic
hire it developers,74,74,20,61,17.50,https://www.facet.net/,0,0,0.00,0.29,96600000,"[7,7,7,7,7,7,7,7,7,7,7,7]",2023-08-24,"Knowledge panel, Sitelinks, Reviews, Image, Ads top, Ads bottom, People also ask, Indented, Related searches",commercial,Organic
technical recruiting,75,75,480,40,2.64,https://www.facet.net/,0,0,0.00,0.2,677000000,"[52,31,25,16,25,31,37,16,20,25,20,13]",2023-09-17,"Local pack, Sitelinks, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
process of vetting,76,68,880,38,0.00,https://www.facet.net/edge-talent-vetting-process,0,0,0.00,0,31900000,"[0,0,44,100,65,0,65,0,0,0,0,82]",2023-09-18,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,Organic
is unlimited pto good or bad,77,77,30,35,0.00,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0,1880000,"[22,22,22,33,22,55,22,22,33,33,44,44]",2023-08-23,"Sitelinks, Video, Featured snippet, People also ask, FAQ, Related searches",informational,Organic
microsoft job interview,77,77,20,50,3.12,https://www.facet.net/posts/i-cheated-on-my-microsoft-interview,0,0,0.00,0.2,126000000,"[28,28,28,28,28,28,28,28,28,28,28,28]",2023-09-16,"Image pack, Reviews, Video Carousel, People also ask, Indented, Related searches",informational,Organic
why unlimited pto is bad,77,77,210,42,0.00,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0.01,2920000,"[43,43,43,43,43,100,35,43,29,29,18,29]",2023-09-10,"Sitelinks, Video, Featured snippet, People also ask, FAQ, Related searches",informational,Organic
talented developers,78,78,40,36,0.00,https://www.facet.net/edge-talent,0,0,0.00,0.05,426000000,"[11,11,11,11,41,11,23,11,100,11,11,11]",2023-09-07,"Sitelinks, Reviews, People also ask, Related searches","commercial, informational",Organic
software developer recruiter,78,78,50,5,8.33,https://www.facet.net/,0,0,0.00,0.44,68400000,"[28,21,21,7,21,28,50,100,50,21,21,35]",2023-08-30,"Image pack, Sitelinks, Reviews, Video, Jobs search, People also ask, Related searches",commercial,Organic
vetting process,78,83,2400,39,0.00,https://www.facet.net/edge-talent-vetting-process,0,0,0.00,0,180000000,"[82,100,82,100,82,100,100,100,100,82,65,82]",2023-09-18,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
y combinator success rate,79,79,70,57,0.00,https://www.facet.net/posts/why-i-turned-down-my-y-combinator-interview,0,0,0.00,0,482000,"[11,11,11,64,11,11,11,11,64,64,100,64]",2023-08-25,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
microsoft team interview,81,81,30,24,1.45,https://www.facet.net/posts/i-cheated-on-my-microsoft-interview,0,0,0.00,0.08,154000000,"[50,21,35,0,7,0,14,0,14,100,7,35]",2023-09-08,"Image pack, Sitelinks, Reviews, Video Carousel, People also ask, Related searches",informational,Organic
recruitin .net,81,81,20,24,7.78,https://www.facet.net/,0,0,0.00,0.16,3820000,"[0,0,0,0,0,0,100,0,0,0,0,0]",2023-08-31,"Sitelinks, Reviews, Video",navigational,Organic
pto-us.com scam,82,82,110,22,0.00,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0,100,"[65,43,28,15,28,12,53,43,21,34,43,15]",2023-08-27,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
tech hiring platform,83,84,30,51,12.51,https://www.facet.net/,0,0,0.00,0.28,180000000,"[100,28,28,71,28,28,71,28,57,57,42,28]",2023-09-18,"Sitelinks, Reviews, Jobs search, People also ask, Indented, Related searches",commercial,Organic
pattern inc utah,83,83,40,42,0.00,https://www.facet.net/,0,0,0.00,0,19100000,"[80,40,60,40,40,100,100,100,80,80,80,80]",2023-08-31,"Knowledge panel, Reviews, Image, People also ask, Indented, Related searches",navigational,Organic
recruiting net,85,85,20,35,4.71,https://www.facet.net/,0,0,0.00,0.15,416000000,"[0,0,0,0,100,0,0,0,0,0,0,0]",2023-08-30,"Sitelinks, Reviews, People also ask, Indented, Related searches","commercial, informational",Organic
y combinator apply,85,85,210,66,5.00,https://www.facet.net/posts/why-i-turned-down-my-y-combinator-interview,0,0,0.00,0.01,9660000,"[43,35,28,43,28,43,43,66,100,43,43,53]",2023-08-27,"Image pack, Sitelinks, Reviews, Video Carousel, People also ask, Related searches","informational, navigational",Organic
pattern staffing agency,86,86,30,26,0.00,https://www.facet.net/,0,0,0.00,0.01,12800000,"[23,23,9,9,9,9,9,9,9,9,9,9]",2023-09-06,"Image pack, Sitelinks, Reviews, Ads top, People also ask, Indented, Related searches",commercial,Organic
backend engineer recruiting agency,86,86,30,0,0.00,https://www.facet.net/,0,0,0.00,0,24500000,"[25,100,100,50,50,75,75,50,25,75,100]",2023-09-05,"Image pack, Sitelinks, Reviews, Jobs search, People also ask, Related searches",commercial,Organic
engineer recruiter,88,88,70,27,3.47,https://www.facet.net/,0,0,0.00,0.22,123000000,"[34,26,26,26,26,34,34,34,26,15,34,26]",2023-08-30,"Local pack, Image pack, Sitelinks, Reviews, Video, Jobs search, People also ask, Related searches",commercial,Organic
recruiters for software engineers,88,88,20,5,5.80,https://www.facet.net/,0,0,0.00,0.45,55300000,"[22,22,22,22,22,22,22,22,22,22,22,22]",2023-08-26,"Image pack, Sitelinks, Reviews, Ads top, Ads bottom, Video Carousel, People also ask, Related searches",commercial,Organic
hire developers,89,89,880,56,24.98,https://www.facet.net/,0,0,0.00,0.49,111000000,"[100,100,88,59,88,88,100,100,100,100,88,88]",2023-09-17,"Sitelinks, Reviews, Ads top, Ads bottom, People also ask, Related searches",commercial,Organic
ycombinator application questions,89,89,70,30,0.00,https://www.facet.net/posts/why-i-turned-down-my-y-combinator-interview,0,0,0.00,0.01,43200000,"[9,52,9,9,9,52,9,66,80,42,52,42]",2023-08-25,"Sitelinks, Reviews, Video, People also ask, Indented, Related searches",informational,Organic
hire network team,89,89,30,11,0.00,https://www.facet.net/,0,0,0.00,0,657000000,"[50,50,50,75,75,75,50,100,50,100,75,0]",2023-08-30,"Image pack, Sitelinks, Reviews, People also ask, Indented, Related searches",commercial,Organic
unlimited pto good or bad,91,91,70,35,0.00,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0.03,1630000,"[52,52,64,52,52,52,29,29,29,17,29,17]",2023-08-23,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, FAQ, Indented, Related searches",informational,Organic
y combinator acceptance rate,93,93,260,43,0.00,https://www.facet.net/posts/why-i-turned-down-my-y-combinator-interview,0,0,0.00,0,13600000,"[54,54,43,54,35,43,43,66,66,66,54,43]",2023-09-12,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
realistic rainbow unicorn,93,93,140,21,0.00,https://www.facet.net/posts/why-i-turned-down-my-y-combinator-interview,0,0,0.00,0.83,44100000,"[53,34,43,43,34,43,34,43,34,43,43,28]",2023-09-12,"Image pack, Reviews, Video, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
facets ux,94,94,30,31,0.00,https://www.facet.net/,0,0,0.00,0.02,4590000,"[14,14,100,14,14,14,14,14,14,14,14,14]",2023-09-06,"Sitelinks, Reviews, People also ask, Related searches",informational,Organic
unlimted vacation,95,95,50,62,1.25,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0.02,195000000,"[3,3,26,15,15,42,15,19,7,19,15,15]",2023-09-04,"Sitelinks, Reviews, People also ask, Indented, Related searches","informational, navigational",Organic
find .net developers,95,95,20,30,77.47,https://www.facet.net/,0,0,0.00,0.57,176000000,"[0,66,66,66,66,66,66,66,66,66,66,100]",2023-09-14,"Image pack, Sitelinks, Reviews, Video, Ads bottom, People also ask, Indented, Related searches",commercial,Organic
software developer recruiters,96,96,110,7,8.33,https://www.facet.net/,0,0,0.00,0.44,21000000,"[64,64,64,52,64,82,41,82,82,64,82,100]",2023-09-09,"Sitelinks, Reviews, Video, Jobs search, People also ask, Indented, Related searches",commercial,Organic
software development recruiters,98,98,30,7,11.97,https://www.facet.net/,0,0,0.00,0.33,40400000,"[80,100,80,40,20,20,100,80,40,0,60,80]",2023-09-04,"Local pack, Sitelinks, Reviews, Video, Ads bottom, Jobs search, People also ask, Related searches",commercial,Organic
facets mobile,98,98,70,15,0.00,https://www.facet.net/,0,0,0.00,0,61400000,"[64,64,35,50,64,50,50,50,50,64,64,50]",2023-08-28,"Image pack, Reviews, People also ask, Indented, Related searches",commercial,Organic
y combinator application,99,99,590,50,2.78,https://www.facet.net/posts/why-i-turned-down-my-y-combinator-interview,0,0,0.00,0.02,17400000,"[30,67,24,30,24,30,30,67,100,45,36,45]",2023-09-11,"Image pack, Sitelinks, Reviews, People also ask, Related searches","informational, navigational",Organic
